frequency_hz,comsol_s11_db,comsol_s12_db,comsol_s21_db,comsol_s22_db,delta_s11_complex,delta_s11_db,delta_s12_complex,delta_s12_db,delta_s21_complex,delta_s21_db,delta_s22_complex,delta_s22_db,hfss_s11_db,hfss_s12_db,hfss_s21_db,hfss_s22_db
2250000000.0,-29.858981729501927,-0.3558965006758399,-0.35590062717794074,-30.06124321018389,0.021037929625579307,8.60028790595267,0.05420890715970945,0.05579034743725014,0.05420910148135882,0.05578622093514929,0.02022939966320478,7.351375934789942,-38.459269635454596,-0.41168684811309003,-0.41168684811309003,-37.41261914497383
2300000000.0000005,-28.6650697632589,-0.3660996655863725,-0.36610378521846004,-28.80879577775278,0.022730225280268544,8.041187192357953,0.05540572225980958,0.05459438206901668,0.05540590937635901,0.054590262436938264,0.021947471461452307,7.15889380161644,-36.70625695561685,-0.4206940476553892,-0.4206940476553983,-35.96768957936922
2350000000.0,-27.641631505860698,-0.37638783559072847,-0.3763918969745663,-27.746244526267596,0.02426391223333518,7.511223428987112,0.056582334161005096,0.05337211349825066,0.05658251646152981,0.05336805211441281,0.023506826036971445,6.872045213148233,-35.15285493484781,-0.42975994908897913,-0.42975994908897913,-34.61828973941583
2400000000.0000005,-26.760616593005217,-0.38673305119927215,-0.38673700787716636,-26.838036605977692,0.025624865977836257,7.041179281883153,0.05773899395910531,0.05214974837361841,0.0577391747444893,0.05214579169572314,0.024893259256396297,6.5649392386334995,-33.80179587488837,-0.43888279957289056,-0.4388827995728895,-33.40297584461119
2450000000.0,-26.000929214829792,-0.39710519848182746,-0.3971090080616782,-26.058875272116456,0.026800334683248002,6.6290296439933165,0.05887638924965169,0.05095371096724988,0.05887657282856946,0.05094990138739913,0.026093879037706977,6.26521255434233,-32.62995885882311,-0.44805890944907734,-0.44805890944907734,-32.324087826458786
2500000000.0,-25.346702935098456,-0.407472706265808,-0.407476330780984,-25.390408242241392,0.02777898045252826,6.265313557099201,0.059995647289527165,0.04980995333475696,0.05999583909494126,0.04980632881959007,0.027097164956536517,5.9816169039071525,-31.612016492197657,-0.45728265960056497,-0.45728265960057407,-31.372025146148545
2550000000.0000005,-24.785951839306037,-0.4178033150608263,-0.4178067230425657,-24.81910867943555,0.028550930600871785,5.940294897239838,0.06109832657402054,0.04874325239369598,0.061098533207881035,0.04873984441195656,0.027893034031373214,5.715495502536637,-30.726246736545875,-0.4665465674545223,-0.4665465674545223,-30.53460418197219
2600000000.0,-24.3095967899194,-0.42806490343617265,-0.4280680736812571,-24.334904754793065,0.029107829162453126,5.6456629108575065,0.062186396532036996,0.047776512011876715,0.0621866256506114,0.04777334176680137,0.02847290451790411,5.465420496389044,-29.955259700776907,-0.47584141544804937,-0.47584141544805847,-29.80032525118211
2650000000.0000005,-23.9107788337243,-0.43822635623443634,-0.43822928278109174,-23.930277752935957,0.029442884178691956,5.374667681670559,0.06326220518031046,0.04693008741367233,0.06326246514739266,0.046927160867016926,0.02882975413324995,5.229050627295933,-29.28544651539486,-0.48515644364810867,-0.48515644364810867,-29.15932838023189
2700000000.0,-23.584378494915256,-0.4482584571932897,-0.44826115462963173,-23.59965913618911,0.029550909211893545,5.121860106420627,0.0643284347079921,0.046221148584075944,0.0643287339775738,0.04621845114773393,0.028958171636537088,5.003856252331168,-28.706238601335883,-0.49447960577736566,-0.49447960577736566,-28.60351538852028
2750000000.0,-23.32668116864996,-0.4581347861787874,-0.4581372941394721,-23.339023896892023,0.02942835910329228,4.882779242535996,0.06538804513451874,0.045663099070689606,0.06538839136806823,0.04566059111000492,0.02885440214696973,4.787377022069503,-28.209460411185955,-0.503797885249477,-0.503797885249477,-28.126400918961526
2800000000.0000005,-23.135147716675903,-0.46783259846098724,-0.4678349840423987,-23.14561743655296,0.02907336081642167,4.653676611750168,0.0664442064244087,0.04526506661655927,0.06644460540210369,0.045262681035139585,0.028516387494573824,4.577285025340981,-27.78882432842607,-0.5130976650775465,-0.5130976650775383,-27.72290246189394
2850000000.0,-23.008263294069323,-0.47733366049139814,-0.4773360174120919,-23.017777381406155,0.028485740549585706,4.431290297412154,0.06750021978018002,0.045031482323715566,0.067500674226684,0.04502912540301257,0.027943803529835543,4.371366752031019,-27.439553591481477,-0.5223651428151137,-0.5223651428151045,-27.389144133437174
2900000000.0000005,-22.945447328988063,-0.48662501392963264,-0.4866274576140966,-22.954826881172327,0.02766704834565733,4.212660103215608,0.06855942928642615,0.04496176521794437,0.06855993778855522,0.04495932153348042,0.027138096867417076,4.167470637366964,-27.15810743220367,-0.531586779147577,-0.531586779147577,-27.12229751853929
2950000000.0,-22.947014757248283,-0.4956996376528051,-0.4957022960602531,-22.957025945548374,0.026620581291522862,3.994970362803656,0.06962512563136058,0.04505012884566062,0.06962568186768826,0.04504747043821261,0.02610252423604401,3.9634381729452812,-26.94198512005194,-0.5407497664984657,-0.5407497664984657,-26.920464118493655
3000000000.0,-23.01418419129974,-0.5045569766681572,-0.5045599775805236,-23.025574579100233,0.025351406219299707,3.7754068300252186,0.07070044425940596,0.04528552549682574,0.07070103676369141,0.045282524584449035,0.024842198872300374,3.7570234573026546,-26.78959102132496,-0.549842502164983,-0.5498425021649727,-26.782598036402888
3050000000.0000005,-23.149133554217578,-0.5132033076772555,-0.513206764125871,-23.16266736631245,0.02386638278628227,3.5510143650922643,0.07178826095847902,0.04565174147560491,0.07178887358512621,0.04564828502698115,0.02336415107490856,3.5457993734191184,-26.700147919309842,-0.5588550491528604,-0.5588550491528521,-26.70846673973157
3100000000.0,-23.355108566173712,-0.5216519137817217,-0.5216559100846714,-23.371604811765874,0.02217418828535976,3.318541437132396,0.07289108847583066,0.046127653344643416,0.07289170161444554,0.046123657041694854,0.021677415956927352,3.3270442471048014,-26.673650003306108,-0.5677795671263651,-0.5677795671263662,-26.698649058870675
