frequency_hz,hfss_s11_db,comsol_s11_db,delta_s11_db,hfss_s11_phase_deg,comsol_s11_phase_deg,delta_s11_phase_deg,delta_s11_complex,hfss_s21_db,comsol_s21_db,delta_s21_db,hfss_s21_phase_deg,comsol_s21_phase_deg,delta_s21_phase_deg,delta_s21_complex,hfss_s12_db,comsol_s12_db,delta_s12_db,hfss_s12_phase_deg,comsol_s12_phase_deg,delta_s12_phase_deg,delta_s12_complex,hfss_s22_db,comsol_s22_db,delta_s22_db,hfss_s22_phase_deg,comsol_s22_phase_deg,delta_s22_phase_deg,delta_s22_complex
7050000000.000001,-31.361514228868387,-30.21040344803955,1.1511107808288372,43.56477570093911,102.05547055399653,58.49069485305742,0.02848429908352294,-1.305379963822043,-1.3100024378527868,-0.004622474030743895,-91.0027226006152,-101.33290166566012,-10.330179065044916,0.15488671534474774,-1.3053799638220418,-1.3099931590976142,-0.004613195275572357,-91.0027226006153,-101.33295208789328,-10.330229487277961,0.15488754931694917,-31.893149329874518,-32.13438052611071,-0.2412311962361926,41.05439135691591,109.28009304884559,68.22570169192969,0.02813856754347494
7100000000.000001,-32.82230634688148,-28.844413917022372,3.9778924298591107,48.8547204777382,111.72378628401384,62.86906580627564,0.032774332483417906,-1.3155720719311315,-1.3232175058741786,-0.007645433943047175,-96.9367729575631,-107.35315642553039,-10.416383467967307,0.1559665421771952,-1.3155720719311315,-1.3232091496847538,-0.007637077753622323,-96.9367729575631,-107.3532078626552,-10.416434905092103,0.155967381233624,-33.60652521736627,-30.19293503015822,3.4135901872080474,46.4121410451581,120.70391317328153,74.29177212812343,0.03229208856189697
7150000000.0,-34.12958295065005,-27.325810954035703,6.803771996614344,58.404752648803,116.98922881859038,58.584476169787365,0.03682121824164069,-1.326096778193855,-1.337229200700143,-0.011132422506287876,-102.874546942657,-113.374182791079,-10.499635848421974,0.1569897343265754,-1.326096778193855,-1.337221687712671,-0.01112490951881595,-102.874546942657,-113.37423355268336,-10.499686610026345,0.15699055384838687,-35.23209332233794,-28.242235127826916,6.989858194511022,57.1201941733489,125.82635133364124,68.70615716029235,0.03621917264814464
7200000000.0,-34.830251212217576,-25.895004460623703,8.935246751593873,72.083556710659,119.05670858239853,46.97315187173953,0.04058109922821906,-1.3369804565951813,-1.3519735840007128,-0.014993127405531492,-108.815696352317,-119.39502983666684,-10.579333484349831,0.15794785669661077,-1.3369804565951813,-1.3519667753441071,-0.014986318748925864,-108.815696352317,-119.39507833258624,-10.579381980269233,0.15794863423348926,-36.13268408562292,-26.534603754152624,9.598080331470296,73.6440231624699,127.1674863841282,53.52346322165829,0.03987453041462181
7250000000.000001,-34.5428730085585,-24.626579815396287,9.916293193162215,86.729630082196,119.01775022388411,32.288120141688125,0.04401299371986598,-1.348238690149473,-1.3673584439409936,-0.019119753791520644,-114.759843473463,-125.41484267985875,-10.654999206395757,0.15883470193518046,-1.3482386901494845,-1.3673521480417592,-0.0191134578922747,-114.759843473463,-125.41488751242598,-10.655044038962984,0.1588354184543554,-35.695392405590326,-25.09047428696718,10.604918118623146,91.4458945635822,126.32169001388517,34.875795450302974,0.04321652248880309
7300000000.000001,-33.443434127033406,-23.528554770604163,9.914879356429243,98.2245081149199,117.6031409240478,19.378632809127907,0.04707939684434794,-1.3598755329209196,-1.383266683600428,-0.023391150679508366,-120.706595470995,-131.43289888351924,-10.72630341252426,0.15964655913773546,-1.3598755329209196,-1.3832606658463298,-0.023385132925410224,-120.706595470995,-131.43293892680347,-10.72634345580849,0.1596472000455027,-34.24960364582076,-23.87744552879174,10.372158117029024,104.441853500847,124.16211734876038,19.720263847913373,0.04620736622307112
7350000000.000001,-32.02126873268485,-22.588384532557427,9.432884200127425,105.249123247747,115.27259913732954,10.023475889582528,0.04974680100449447,-1.371883223104919,-1.3995607880278385,-0.027677564922919506,-126.65555956428,-137.4486395769236,-10.7930800126436,0.1603823824451585,-1.371883223104919,-1.3995547826902066,-0.027671559585287664,-126.65555956428,-137.4486740390633,-10.793114474783295,0.16038293834253975,-32.53129149221314,-22.859127180298493,9.67216431191465,111.578637257593,121.1744989393255,9.595861681732515,0.04881344740195732
7400000000.0,-30.606459663119793,-21.789486806868656,8.816972856251137,108.646880822798,112.31721054834453,3.6703297255465372,0.05198611770786866,-1.384242365327054,-1.416088174501906,-0.031845809174852135,-132.606358367765,-143.461693929798,-10.855335562032991,0.16104385464012894,-1.384242365327054,-1.4160818982129166,-0.03183953288586272,-132.606358367765,-143.4617223957761,-10.855364028011081,0.16104432179206593,-30.920588855007733,-22.005281739651753,8.91530711535598,114.568131001349,117.64292689438271,3.074795893033695,0.05100562318156298
7450000000.0,-29.327472841544207,-21.11646895632886,8.211003885215348,109.570803074525,108.92665542849979,-0.6441476460252034,0.053772989958805556,-1.3969225798350693,-1.4326871930489424,-0.03576461321387314,-138.558644755606,-149.47189594287894,-10.913251187272948,0.16163534520718228,-1.3969225798350806,-1.432680359048564,-0.03575777921348333,-138.558644755606,-149.47191839662966,-10.913273641023665,0.16163572572444931,-29.518116392001343,-21.292542678871953,8.22557371312939,114.987679639472,113.74281125251976,-1.2448683869522483,0.052759463657466206
7500000000.000001,-28.214378972239103,-20.556454640352925,7.6579243318861785,108.870518232715,105.22904880478558,-3.6414694279294224,0.05508799190737937,-1.409883595693373,-1.4491935202171313,-0.039309924523758255,-144.512115625424,-155.47929288468868,-10.967177259264673,0.16216376618248615,-1.409883595693373,-1.4491858525699928,-0.0393022568766197,-144.512115625424,-155.47930971141975,-10.967194085995743,0.16216406793992225,-28.325557655002655,-20.70323035217571,7.622327302826946,113.82110506295,109.58816843619549,-4.232936626754508,0.0540554089465516
