frequency_hz,reference_s11_db,rebuilt_s11_db,delta_s11_db,delta_s11_complex,delta_s11_phase_deg,reference_s21_db,rebuilt_s21_db,delta_s21_db,delta_s21_complex,delta_s21_phase_deg,reference_s12_db,rebuilt_s12_db,delta_s12_db,delta_s12_complex,delta_s12_phase_deg,reference_s22_db,rebuilt_s22_db,delta_s22_db,delta_s22_complex,delta_s22_phase_deg
2200000000.0,-40.30426069280818,-40.304260692662766,1.454125708733045e-10,1.8395917977259448e-13,-5.210267772781663e-10,-0.40273821222700523,-0.40273821222766987,-6.6463501369185e-13,3.24843933852246e-13,1.8985701899509877e-11,-0.40273821222700523,-0.40273821222766987,-6.6463501369185e-13,3.24843933852246e-13,1.8985701899509877e-11,-38.82468333094633,-38.82468333101286,-6.652811634921818e-11,1.6662216131811838e-13,7.090079634508584e-10
2250000000.0,-38.459269635454596,-38.45926963537327,8.132872153510107e-11,1.862923159088782e-13,-7.150049441406736e-10,-0.41168684811309003,-0.4116868481139919,-9.018896740542459e-13,4.76283092859636e-13,2.7995383788947947e-11,-0.41168684811309003,-0.4116868481139839,-8.938960682769448e-13,4.761178593980831e-13,2.7995383788947947e-11,-37.41261914497383,-37.41261914499099,-1.715960706860642e-11,1.5372680402267112e-13,6.440075139835244e-10
2300000000.0,-36.70625695561685,-36.70625695558445,3.240074875066057e-11,1.8933380146513198e-13,-7.109974831109866e-10,-0.4206940476553983,-0.4206940476564014,-1.003086502748829e-12,5.987197567887292e-13,3.5413449950283393e-11,-0.4206940476553892,-0.4206940476563923,-1.003086502748829e-12,5.970434871637897e-13,3.529976311256178e-11,-35.96768957936922,-35.96768957936005,9.173106718662893e-12,1.392759674727951e-13,4.979767709301086e-10
2350000000.0,-35.15285493484781,-35.15285493484795,-1.4210854715202004e-13,1.930381267176337e-13,-6.330083124339581e-10,-0.42975994908897913,-0.42975994908997417,-9.950373858202965e-13,6.864605676389811e-13,4.0813574742060155e-11,-0.42975994908897913,-0.429759949089965,-9.85878045867139e-13,6.862970382578577e-13,4.0813574742060155e-11,-34.61828973941583,-34.61828973939713,1.8701484805205837e-11,1.2126652719700946e-13,3.5299763112561777e-10
2400000000.0,-33.80179587488837,-33.801795874908926,-2.0556001345539698e-11,1.9593599322188608e-13,-5.329923169483664e-10,-0.4388827995728895,-0.43888279957380544,-9.159339953157541e-13,7.401826181226141e-13,4.419575816427823e-11,-0.43888279957289056,-0.4388827995737872,-8.966161146872764e-13,7.382360735994355e-13,4.411049303598702e-11,-33.40297584461119,-33.40297584459299,1.8204104890173767e-11,9.911191795898659e-14,2.37008634940139e-10
2450000000.0,-32.62995885882311,-32.62995885885549,-3.2379432468587765e-11,1.968675690893269e-13,-4.3300474317220505e-10,-0.44805890944907734,-0.4480589094498541,-7.767675391789908e-13,7.624499361240416e-13,4.5702108764089644e-11,-0.44805890944907734,-0.4480589094498358,-7.584488592726757e-13,7.605576818611306e-13,4.558842192636803e-11,-32.324087826458786,-32.32408782644647,1.2313705610722536e-11,7.353901748292329e-14,1.5401724340335932e-10
2500000000.0,-31.612016492197657,-31.612016492235853,-3.8195224760784185e-11,1.958440066691277e-13,-3.4501113077567425e-10,-0.45728265960057407,-0.45728265960117787,-6.037947919423914e-13,7.530540906693133e-13,4.530420483206399e-11,-0.45728265960056497,-0.45728265960115955,-5.945799408380026e-13,7.495919407031624e-13,4.510525286605116e-11,-31.372025146148545,-31.372025146144786,3.75877107217093e-12,4.947658957716896e-14,1.0200551514571998e-10
2550000000.0,-30.726246736545875,-30.726246736585683,-3.980815677095961e-11,1.908404500029238e-13,-2.6901147975877393e-10,-0.4665465674545223,-0.46654656745496187,-4.3959280660033073e-13,7.145443859391756e-13,4.3087311496492475e-11,-0.4665465674545223,-0.4665465674549528,-4.305444889496357e-13,7.145291906086725e-13,4.3087311496492475e-11,-30.53460418197219,-30.534604181977976,-5.787370582766016e-12,4.3647613135616407e-14,7.494804776797537e-11
2600000000.0,-29.955259700776907,-29.955259700815382,-3.8475889141409425e-11,1.824004454725387e-13,-2.0901325115119107e-10,-0.47584141544805847,-0.47584141544833364,-2.7516877665334505e-13,6.550478613251937e-13,3.959144123655278e-11,-0.47584141544804937,-0.4758414154483234,-2.740585536287199e-13,6.550370627038677e-13,3.959144123655278e-11,-29.80032525118211,-29.800325251197222,-1.511324398961733e-11,6.879091235627392e-14,7.000267032708507e-11
2650000000.0,-29.28544651539486,-29.285446515430174,-3.531397396727698e-11,1.707151799350403e-13,-1.6399326341343112e-10,-0.48515644364810867,-0.4851564436482555,-1.4682699500667695e-13,5.747700648365721e-13,3.481659405224491e-11,-0.48515644364810867,-0.4851564436482555,-1.4682699500667695e-13,5.747700648365721e-13,3.481659405224491e-11,-29.15932838023189,-29.15932838025548,-2.3590018827235326e-11,1.0636239474821842e-13,7.997869033715688e-11
2700000000.0,-28.706238601335883,-28.706238601366888,-3.100453227489197e-11,1.5661347125405786e-13,-1.339799382549245e-10,-0.49447960577736566,-0.49447960577741257,-4.6906922790412864e-14,4.815871196791575e-13,2.921751729445532e-11,-0.49447960577736566,-0.49447960577741257,-4.6906922790412864e-14,4.815871196791575e-13,2.921751729445532e-11,-28.60351538852028,-28.60351538855113,-3.085176558670355e-11,1.4726166377990513e-13,1.0101075531565584e-10
2750000000.0,-28.209460411185955,-28.209460411212255,-2.6300739364160108e-11,1.4271597191045792e-13,-1.1900169738510158e-10,-0.503797885249477,-0.5037978852494586,1.84297022087776e-14,3.7882737473608875e-13,2.3021584638627246e-11,-0.503797885249477,-0.5037978852494586,1.84297022087776e-14,3.770939960883293e-13,2.290789780090563e-11,-28.126400918961526,-28.126400918998034,-3.650768576335395e-11,1.8739779132166601e-13,1.3000089893466793e-10
2800000000.0,-27.78882432842607,-27.788824328447788,-2.1717738718507462e-11,1.3079257478944196e-13,-1.1499423635541461e-10,-0.5130976650775383,-0.5130976650774831,5.517808432387028e-14,2.71591187893315e-13,1.6513013179064728e-11,-0.5130976650775465,-0.5130976650774922,5.4289905904170155e-14,2.71591187893315e-13,1.6513013179064728e-11,-27.72290246189394,-27.722902461934535,-4.0593306493974524e-11,2.2488534437408808e-13,1.6299850358336698e-10
2850000000.0,-27.439553591481477,-27.43955359149917,-1.7692514120426495e-11,1.2567157565240363e-13,-1.2300915841478854e-10,-0.5223651428151045,-0.5223651428150318,7.271960811294775e-14,1.6136598031964383e-13,9.805489753489383e-12,-0.5223651428151137,-0.5223651428150399,7.382983113757291e-14,1.6136598031964383e-13,9.805489753489383e-12,-27.389144133437174,-27.389144133480265,-4.3090864210171276e-11,2.582280546182089e-13,1.9798562789219432e-10
2900000000.0,-27.15810743220367,-27.158107432218248,-1.4576784224118455e-11,1.2874752551595673e-13,-1.3798739928461146e-10,-0.531586779147577,-0.5315867791474838,9.325873406851315e-14,5.349745900206941e-14,3.211653165635653e-12,-0.531586779147577,-0.5315867791475022,7.482903185973555e-14,5.313748229612057e-14,3.211653165635653e-12,-27.12229751853929,-27.122297518583387,-4.409628218127182e-11,2.8458319444351664e-13,2.290221345901955e-10
2950000000.0,-26.94198512005194,-26.941985120064555,-1.2615686273420579e-11,1.4153662317247362e-13,-1.6001422409317456e-10,-0.5407497664984657,-0.5407497664983836,8.215650382226158e-14,5.1566991238337624e-14,-3.097966327914037e-12,-0.5407497664984657,-0.540749766498403,6.272760089132134e-14,5.1222717403556795e-14,-3.097966327914037e-12,-26.920464118493655,-26.920464118537414,-4.375877438178577e-11,3.0459944444940975e-13,2.580122782092076e-10
3000000000.0,-26.78959102132496,-26.78959102133694,-1.1979750524915289e-11,1.6140643576338313e-13,-1.8599166651256382e-10,-0.5498425021649727,-0.5498425021649079,6.472600233564663e-14,1.4751622358002768e-13,-8.981260180007666e-12,-0.549842502164983,-0.5498425021649183,6.472600233564663e-14,1.4756736178983812e-13,-9.00968188943807e-12,-26.782598036402888,-26.782598036445236,-4.234834705130197e-11,3.161715562138358e-13,2.800106813083403e-10
3050000000.0,-26.700147919309842,-26.70014791932254,-1.269739868803299e-11,1.8395606369436238e-13,-2.119975306413835e-10,-0.5588550491528521,-0.5588550491527874,6.472600233564663e-14,2.3413288979154645e-13,-1.4296119843493216e-11,-0.5588550491528604,-0.5588550491527956,6.483702463810914e-14,2.3413288979154645e-13,-1.4296119843493216e-11,-26.70846673973157,-26.70846673977175,-4.0181191707233666e-11,3.203325857920616e-13,2.9598368200822733e-10
3100000000.0,-26.673650003306108,-26.673650003320958,-1.4850343177386094e-11,2.0758586859002715e-13,-2.369802132307086e-10,-0.5677795671263662,-0.5677795671262911,7.51620987671231e-14,3.1287646046112137e-13,-1.9127810446661897e-11,-0.5677795671263651,-0.5677795671263003,6.483702463810914e-14,3.1251701548487044e-13,-1.9099388737231493e-11,-26.698649058870675,-26.698649058908202,-3.752731458916969e-11,3.161746373674242e-13,3.036007001355756e-10
3150000000.0,-26.71085014089709,-26.71085014091541,-1.8321344441574183e-11,2.300625226006414e-13,-2.5858071239781566e-10,-0.5766106957893362,-0.576610695789261,7.51620987671231e-14,3.799821730418866e-13,-2.3248958314070478e-11,-0.5766106957893362,-0.5766106957892704,6.583622536027178e-14,3.804419483334078e-13,-2.3277380023500882e-11,-26.75457195794192,-26.754571957976665,-3.47455397786689e-11,3.0493074892378806e-13,3.034017481695628e-10
3200000000.0,-26.813278433410062,-26.813278433433034,-2.297184664712404e-11,2.499735120457664e-13,-2.7480950848257635e-10,-0.5853458736093319,-0.585345873609238,9.392486788328824e-14,4.3640511372848873e-13,-2.674482857401017e-11,-0.5853458736093319,-0.5853458736092565,7.538414337204813e-14,4.362003305065757e-13,-2.6716406864579767e-11,-26.8785908468481,-26.878590846880254,-3.2155611506823334e-11,2.8751162687410595e-13,2.9541524781961925e-10
3250000000.0,-26.983290634588457,-26.98329063461708,-2.8624214110095636e-11,2.6607483896348547e-13,-2.8350655156828e-10,-0.593985576105897,-0.5939855761057937,1.0325074129013956e-13,4.817653399651012e-13,-2.955857780762017e-11,-0.593985576105897,-0.593985576105803,9.392486788328824e-14,4.817518684906539e-13,-2.955857780762017e-11,-27.07412254911389,-27.074122549143933,-3.0041746867937036e-11,2.6554083732212277e-13,2.8057911549694836e-10
