frequency_hz,s11_real,s11_imag,s11_db,s11_phase_deg,s21_real,s21_imag,s21_db,s21_phase_deg,s12_real,s12_imag,s12_db,s12_phase_deg,s22_real,s22_imag,s22_db,s22_phase_deg
3550000000.0,0.011995618911700688,0.030531523661780118,-29.68159956431739,68.5504888170833,0.6813942583243087,-0.6307439997634665,-0.6442415506251555,-42.7894052647522,0.6813942583243087,-0.6307439997634665,-0.6442415506251555,-42.7894052647522,0.016018573771560903,0.026637382916097515,-30.14957745852837,58.9791128923011
3600000000.0,0.011871007487888217,0.027475568564959578,-30.477755192357282,66.6329108035617,0.6142774006840273,-0.69510051611296,-0.6524839226429218,-48.53217767454001,0.6142774006840273,-0.69510051611296,-0.6524839226429218,-48.53217767454001,0.015622581844378087,0.023043530297208566,-31.10659435736418,55.8643163946077
3650000000.0,0.011113720311650544,0.024532219099801824,-31.394556458766868,65.6282623500476,0.5410833585169059,-0.7523937502279652,-0.6607380243913616,-54.2782303053981,0.5410833585169045,-0.7523937502279662,-0.6607380243913625,-54.2782303053982,0.01452242590889314,0.01958474775510055,-32.258750258306975,53.4424319771736
3700000000.0,0.009752956283540722,0.021822409576573013,-32.43107105698873,65.9189911270716,0.4625479644061323,-0.8020471751393339,-0.669024914151536,-60.02755665614059,0.4625479644061323,-0.8020471751393339,-0.669024914151536,-60.02755665614059,0.012748974943852735,0.016392773387794057,-33.65261444328865,52.1271068779487
3750000000.0,0.007841090010954531,0.019460456567200156,-33.56357793001873,68.054298725418,0.3794627342377154,-0.8435600948873367,-0.6773653328256755,-65.7801237963565,0.3794627342377154,-0.8435600948873367,-0.6773653328256755,-65.7801237963565,0.01035806627693605,0.013592673221850718,-35.34542339867769,52.6914012299387
3800000000.0,0.005452264546454766,0.01754957911373016,-34.714497575865956,72.7411406187246,0.2926671620840299,-0.8765133226410254,-0.6857789522438097,-71.5358727229252,0.2926671620840299,-0.8765133226410254,-0.6857789522438097,-71.5358727229252,0.007429115977713078,0.011298043336731447,-37.37934612894198,56.67277008047041
3850000000.0,0.0026801048214740307,0.01617770390611316,-35.70407476869315,80.5934390900086,0.20304034990501968,-0.9005740928538968,-0.694283628763217,-77.2947196869026,0.20304034990501968,-0.9005740928538968,-0.694283628763217,-77.2947196869026,0.004062790961140269,0.009606490591125425,-39.63407303189149,67.0754553794638
3900000000.0,-0.0003653937080514911,0.01541373281080881,-36.239403589355945,91.3579836409435,0.11149204554581923,-0.9155001060878354,-0.7028946913748247,-83.0565584908086,0.11149204554581923,-0.9155001060878354,-0.7028946913748247,-83.0565584908086,0.00037779576727503246,0.008595580525487723,-41.30611409675335,87.483336889895
3950000000.0,-0.003561709067300536,0.01530444062185441,-36.074583757103426,103.100902667558,0.018953183571859093,-0.9211426118782897,-0.7116242937773009,-88.8212637173035,0.018953183571859093,-0.9211426118782897,-0.7116242937773009,-88.8212637173035,-0.0034931332747027075,0.008319431859121427,-40.892959646832246,112.776386637455
4000000000.0,-0.006778241027717825,0.015872152687445816,-35.25973551898921,113.125021824856,-0.07363395610644818,-0.9174484471907687,-0.7204808588967093,-94.5886948105054,-0.07363395610644818,-0.9174484471907687,-0.7204808588967093,-94.5886948105054,-0.007407895322043566,0.0088061187487832,-38.780311973267125,130.071263933229
4050000000.0,-0.009881202651170826,0.017113325239634405,-34.08374439152004,120.002058280715,-0.16532583866724196,-0.9044609655227303,-0.7294686420813988,-100.358700892493,-0.16532583866724196,-0.9044609655227303,-0.7294686420813988,-100.358700892493,-0.011220187726122629,0.010056014700373884,-36.43943448142118,138.131938254412
4099999999.9999995,-0.012738767532471945,0.018998116635051913,-32.81328418201913,123.84295615866502,-0.25518786624810813,-0.8823198139559428,-0.7385874357133776,-106.131126161705,-0.25518786624810813,-0.8823198139559428,-0.7385874357133776,-106.131126161705,-0.014784969367475125,0.012041176513363332,-34.39393742417002,140.839935667412
4150000000.0000005,-0.015226266640493464,0.021470996831869753,-31.593652286882083,125.34255370465398,-0.3423045142292536,-0.8512595414297635,-0.7478324333362708,-111.905815688766,-0.3423045142292536,-0.8512595414297635,-0.7478324333362708,-111.905815688766,-0.017964009231874706,0.01470582440709841,-32.68437906328933,140.695314786773
4200000000.0,-0.01723121983304956,0.024452397441859522,-30.482571940054903,125.171750847693,-0.4257892515719706,-0.8116070497652366,-0.757194265759647,-117.682621400423,-0.4257892515719702,-0.8116070497652357,-0.7571942657596564,-117.682621400423,-0.020631294192077647,0.017967927694827465,-31.258100951463796,138.947182411613
4250000000.0,-0.018657988919418254,0.027841358210750216,-29.49519019080566,123.82816232504298,-0.5047940881624128,-0.7637779278256709,-0.766659215166961,-123.46140802516702,-0.5047940881624122,-0.7637779278256701,-0.7666592151669706,-123.46140802516702,-0.02267807028457807,0.021721856673845137,-30.060640984879576,136.233752845142
4300000000.0,-0.01943185168812564,0.03151908059235423,-28.629469281804177,121.65427806329299,-0.5785186021071053,-0.7082717368185261,-0.7762096062903007,-129.242058765888,-0.5785186021071053,-0.7082717368185261,-0.7762096062903007,-129.242058765888,-0.024017303301275023,0.02584201365410641,-29.049560617710814,132.904071490782
4350000000.0,-0.019502318897963274,0.03535325789809922,-27.87760899741121,118.88294515808802,-0.6462183161162915,-0.6456663393248431,-0.7858243665082818,-135.024480466179,-0.6462183161162915,-0.6456663393248431,-0.7858243665082818,-135.024480466179,-0.024587366640494674,0.030187312063322303,-28.193545422693596,129.162588812102
4400000000.0,-0.01884554739523032,0.03920301666675282,-27.23071712601458,115.67437398930001,-0.7072123134821773,-0.5766113845808182,-0.7954797395872619,-140.808608048039,-0.7072123134821773,-0.5766113845808182,-0.7954797395872619,-140.808608048039,-0.024354795697319895,0.0346063348237012,-27.469639528548836,125.136617666288
4450000000.0,-0.0174657402550413,0.04292427717275294,-26.680575949775296,112.141237992097,-0.760890009256028,-0.501821076579001,-0.8051501310310962,-146.59440801938004,-0.760890009256028,-0.501821076579001,-0.8051501310310962,-146.59440801938004,-0.02331598663339455,0.0389429736172452,-26.860926352111882,120.90985421648402
4500000000.0,-0.015395466814997733,0.0463753234305443,-26.22021873621197,108.364897155437,-0.8067170192826151,-0.42206635892116096,-0.8148090569297566,-152.381880879393,-0.8067170192826151,-0.42206635892116096,-0.8148090569297566,-152.381880879393,-0.021497760797103548,0.04304233046563475,-26.3548728968239,116.54012191294498
